-0.127045,25.207375,17.371941,4.798296,24.722271,20.208683,4.798296,24.722271,17.371941
4.798296,24.722271,20.208683,9.534360,23.285601,17.371941,4.798296,24.722271,17.371941
9.534360,23.285601,17.371941,13.899140,20.952578,20.208683,13.899140,20.952578,17.371941
13.899140,20.952578,20.208683,17.724901,17.812855,17.371941,13.899140,20.952578,17.371941
17.724901,17.812855,17.371941,20.864624,13.987094,20.208683,20.864624,13.987094,17.371941
20.864624,13.987094,20.208683,23.197647,9.622313,17.371941,20.864624,13.987094,17.371941
23.197647,9.622313,17.371941,24.634317,4.886250,20.208683,24.634317,4.886250,17.371941
24.634317,4.886250,20.208683,25.119421,-0.039091,17.371941,24.634317,4.886250,17.371941
25.119421,-0.039091,17.371941,24.634317,-4.964433,20.208683,24.634317,-4.964433,17.371941
24.634317,-4.964433,20.208683,23.197647,-9.700496,17.371941,24.634317,-4.964433,17.371941
23.197647,-9.700496,17.371941,20.864624,-14.065276,20.208683,20.864624,-14.065276,17.371941
20.864624,-14.065276,20.208683,17.724901,-17.891037,17.371941,20.864624,-14.065276,17.371941
17.724901,-17.891037,17.371941,13.899140,-21.030760,20.208683,13.899140,-21.030760,17.371941
13.899140,-21.030760,20.208683,9.534360,-23.363783,17.371941,13.899140,-21.030760,17.371941
9.534360,-23.363783,17.371941,4.798296,-24.800453,20.208683,4.798296,-24.800453,17.371941
4.798296,-24.800453,20.208683,-0.127045,-25.285557,17.371941,4.798296,-24.800453,17.371941
-0.127045,-25.285557,17.371941,-5.052386,-24.800453,20.208683,-5.052386,-24.800453,17.371941
-5.052386,-24.800453,20.208683,-9.788449,-23.363783,17.371941,-5.052386,-24.800453,17.371941
-9.788449,-23.363783,17.371941,-14.153230,-21.030760,20.208683,-14.153230,-21.030760,17.371941
-14.153230,-21.030760,20.208683,-17.978991,-17.891037,17.371941,-14.153230,-21.030760,17.371941
-17.978991,-17.891037,17.371941,-21.118713,-14.065276,20.208683,-21.118713,-14.065276,17.371941
-21.118713,-14.065276,20.208683,-23.451736,-9.700496,17.371941,-21.118713,-14.065276,17.371941
-23.451736,-9.700496,17.371941,-24.888407,-4.964433,20.208683,-24.888407,-4.964433,17.371941
-24.888407,-4.964433,20.208683,-25.373510,-0.039091,17.371941,-24.888407,-4.964433,17.371941
-25.373510,-0.039091,17.371941,-24.888407,4.886250,20.208683,-24.888407,4.886250,17.371941
-24.888407,4.886250,20.208683,-23.451736,9.622313,17.371941,-24.888407,4.886250,17.371941
